line;company;region;good;win;comment
1;Акционерная компании АЛРОСА (Закрытое акционерное общество) ;Республика Саха, г. Мирный;1;1;
1;Открытое акционерное общество Мичуринский завод Прогресс ; Тамбовская обл., г. Мичуринск ;0;;2
1;Закрытое акционерное общество НОВОМЕТ-ПЕРМЬ ;г. Пермь ;1;;
1;Закрытое акционерное общество Балтийский станкостроительный завод ;г. Санкт-Петербург ;0;;3
1;Открытое акционерное общество Магнитогорский метизно-калибровочный завод ММК-МЕТИЗ ;г. Магнитогорск ;1;;
1;Открытое акционерное общество Авиакомпания Сибирь ;Новосибирская обл.;1;;
1;Открытое акционерное общество Акционерная компания Корвет;Курганская обл., г. Курган ;1;;
1;Закрытое акционерное общество РОССИЙСКИЕ РЕДКИЕ МЕТАЛЛЫ ;г. Санкт-Петербург г., ;1;;
1;Открытое акционерное общество производственное объединение северное машиностроительное предприятие ;Архангельская обл., г. Северодвинск ;1;;
1;Закрытое акционерное общество РОССИЙСКИЕ РЕДКИЕ МЕТАЛЛЫ ;г. Санкт-Петербург ;1;;
1;Открытое акционерное общество Томский электромеханический завод им. В.В.Вахрушева ;г. Томск ;0;;3
1;Открытое акционерное общество Тамбовский завод Комсомолец имени Н.С. Артемова ;г. Тамбов ;1;;
1;Открытое акционерное общество Государственный научный центр-Научно-исследовательский институт атомных реакторов ;Ульяновская обл., г. Димитровград ;1;1;
1;Открытое акционерное общество РУМО ;г. Нижний Новгород ;1;;
1;Общество с ограниченной ответственностью Усольехимпром ;Иркутская обл., г. Усолье-Сибирское ;1;1;
1;Открытое акционерное общество Муромский радиозавод ;Владимирская обл., г. Муром ;1;;
1;Закрытое акционерное общество Научно-производственное предприятие МедИнж ;г. Пенза ;0;;3
1;Открытое акционерное общество Приборостроительный завод ВИБРАТОР ;г. Санкт-Петербург ;0;;2
1;Общество с ограниченной ответственностью БиоХимЗавод ;Кировская обл., г. Киров;0;;2
1;Закрытое Акционерное Общество Нара ;Московская обл., г. Серпухов;1;;
1;Открытое акционерное общество Концерн Центральный научно-исследовательский институт Электроприбор ;г. Санкт-Петербург;1;;
1;Открытое акционерное общество Вяземский машиностроительный завод ;Смоленская обл., г. Вязьма;0;;2
1;Общество с Ограниченной Ответственностью Усолье-Сибирский Силикон ;Иркутская обл., г. Усолье-Сибирское ;0;;3
1;Общество с ограниченной ответственностью Научно-производственное объединение Автогазтранс ;г. Самара ;1;;
1;Общество с ограниченной ответственностью Научно-внедренческое предприятие БашИнком ;Респ. Башкортостан г. Уфа;1;;
1;Общество с ограниченной ответственностью Евросахар ;г. Орел ;0;;1
1;Общество с ограниченной ответственностью научно-производственное предприятие Эксорб ;г. Екатеринбург ;1;;
1;Закрытое акционерное общество Уралэлектромаш ;г. Каменск-Уральский;0;;1
1;Открытое акционерное общество Пермская научно-производственная приборостроительная компания ;г. Пермь ;1;1;
1;Открытое акционерное общество Пермская научно-производственная приборостроительная компания ;г. Пермь ;1;;
1;Татарское меховое торгово-промышленное общество с ограниченной ответственностью Мелита ;г.Казань ;0;;1
1;Общество с ограниченной ответственностью Хозрасчетный творческий центр Уфимского авиационного института ;Республика. Башкортостан г. Уфа;1;;
1;Открытое Акционерное Общество Обувная фабрика Спартак ;г.Казань;0;;2
1;Общество с ограниченной ответственностью Булгар-Синтез ;г.Казань;1;1;
1;Общество с ограниченной ответственностью Производственно-техническое объединение Медтехника ;г. Казань;1;;
1;Открытое акционерное общество Авангард ;г. Санкт-Петербург ;1;;
1;Закрытое акционерное общество Информационные и управляющие системы ;г. Саратов ;1;;
1;Открытое акционерное общество Хитон ;г. Казань;0;;1
1;Открытое акционерное общество Татхимфармпрепараты ;г. Казань;1;;
1;Общество с ограниченной ответственностью Производственное объединение Шеврет ;г. Волгоград ;0;;3
1;Открытое акционерное общество Концерн Океанприбор ;г. Санкт-Петербург ;0;;1
1;Закрытое акционерное общество Опытно-Экспериментальный завод ВладМиВа ;г. Белгород ;1;1;
1;Открытое акционерное общество Опытное Конструкторское Бюро Машиностроения им.И.И. Африкантова ; г. Нижний Новгород ;1;;
