date,location,hits,keyword,geo,gprop
2019-01-01 2019-02-01,Khanty-Mansi Autonomous Okrug,100,дворец путина,RU,web
2019-01-01 2019-02-01,Tatarstan,34,дворец путина,RU,web
2019-01-01 2019-02-01,Moscow Oblast,19,дворец путина,RU,web
2019-01-01 2019-02-01,Moscow,17,дворец путина,RU,web
2019-01-01 2019-02-01,Adygea,,дворец путина,RU,web
2019-01-01 2019-02-01,Altai Republic,,дворец путина,RU,web
2019-01-01 2019-02-01,Altai Krai,,дворец путина,RU,web
2019-01-01 2019-02-01,Amur Oblast,,дворец путина,RU,web
2019-01-01 2019-02-01,Arkhangelsk Oblast,,дворец путина,RU,web
2019-01-01 2019-02-01,Astrakhan Oblast,,дворец путина,RU,web
2019-01-01 2019-02-01,Republic of Bashkortostan,,дворец путина,RU,web
2019-01-01 2019-02-01,Belgorod Oblast,,дворец путина,RU,web
2019-01-01 2019-02-01,Bryansk Oblast,,дворец путина,RU,web
2019-01-01 2019-02-01,Buryatia,,дворец путина,RU,web
2019-01-01 2019-02-01,Chechnya,,дворец путина,RU,web
2019-01-01 2019-02-01,Chelyabinsk Oblast,,дворец путина,RU,web
2019-01-01 2019-02-01,Chukotka Autonomous Okrug,,дворец путина,RU,web
2019-01-01 2019-02-01,Chuvashia Republic,,дворец путина,RU,web
2019-01-01 2019-02-01,Dagestan Republic,,дворец путина,RU,web
2019-01-01 2019-02-01,Ingushetia,,дворец путина,RU,web
2019-01-01 2019-02-01,Irkutsk Oblast,,дворец путина,RU,web
2019-01-01 2019-02-01,Ivanovo Oblast,,дворец путина,RU,web
2019-01-01 2019-02-01,Kamchatka Krai,,дворец путина,RU,web
2019-01-01 2019-02-01,Kabardino-Balkaria,,дворец путина,RU,web
2019-01-01 2019-02-01,Karachay-Cherkessia,,дворец путина,RU,web
2019-01-01 2019-02-01,Krasnodar Krai,,дворец путина,RU,web
2019-01-01 2019-02-01,Kemerovo Oblast,,дворец путина,RU,web
2019-01-01 2019-02-01,Kaliningrad Oblast,,дворец путина,RU,web
2019-01-01 2019-02-01,Kurgan Oblast,,дворец путина,RU,web
2019-01-01 2019-02-01,Khabarovsk Krai,,дворец путина,RU,web
2019-01-01 2019-02-01,Kirov Oblast,,дворец путина,RU,web
2019-01-01 2019-02-01,Republic of Khakassia,,дворец путина,RU,web
2019-01-01 2019-02-01,Kalmykia,,дворец путина,RU,web
2019-01-01 2019-02-01,Kaluga Oblast,,дворец путина,RU,web
2019-01-01 2019-02-01,Komi Republic,,дворец путина,RU,web
2019-01-01 2019-02-01,Kostroma Oblast,,дворец путина,RU,web
2019-01-01 2019-02-01,Republic of Karelia,,дворец путина,RU,web
2019-01-01 2019-02-01,Kursk Oblast,,дворец путина,RU,web
2019-01-01 2019-02-01,Krasnoyarsk Krai,,дворец путина,RU,web
2019-01-01 2019-02-01,Leningrad Oblast,,дворец путина,RU,web
2019-01-01 2019-02-01,Lipetsk Oblast,,дворец путина,RU,web
2019-01-01 2019-02-01,Magadan Oblast,,дворец путина,RU,web
2019-01-01 2019-02-01,Mari El Republic,,дворец путина,RU,web
2019-01-01 2019-02-01,Mordovia,,дворец путина,RU,web
2019-01-01 2019-02-01,Murmansk Oblast,,дворец путина,RU,web
2019-01-01 2019-02-01,Nenets Autonomous Okrug,,дворец путина,RU,web
