date,location,hits,keyword,geo,gprop
2019-01-01 2019-02-01,Adygea,,фбк кошелек,RU,web
2019-01-01 2019-02-01,Altai Republic,,фбк кошелек,RU,web
2019-01-01 2019-02-01,Altai Krai,,фбк кошелек,RU,web
2019-01-01 2019-02-01,Amur Oblast,,фбк кошелек,RU,web
2019-01-01 2019-02-01,Arkhangelsk Oblast,,фбк кошелек,RU,web
2019-01-01 2019-02-01,Astrakhan Oblast,,фбк кошелек,RU,web
2019-01-01 2019-02-01,Republic of Bashkortostan,,фбк кошелек,RU,web
2019-01-01 2019-02-01,Belgorod Oblast,,фбк кошелек,RU,web
2019-01-01 2019-02-01,Bryansk Oblast,,фбк кошелек,RU,web
2019-01-01 2019-02-01,Buryatia,,фбк кошелек,RU,web
2019-01-01 2019-02-01,Chechnya,,фбк кошелек,RU,web
2019-01-01 2019-02-01,Chelyabinsk Oblast,,фбк кошелек,RU,web
2019-01-01 2019-02-01,Chukotka Autonomous Okrug,,фбк кошелек,RU,web
2019-01-01 2019-02-01,Chuvashia Republic,,фбк кошелек,RU,web
2019-01-01 2019-02-01,Dagestan Republic,,фбк кошелек,RU,web
2019-01-01 2019-02-01,Ingushetia,,фбк кошелек,RU,web
2019-01-01 2019-02-01,Irkutsk Oblast,,фбк кошелек,RU,web
2019-01-01 2019-02-01,Ivanovo Oblast,,фбк кошелек,RU,web
2019-01-01 2019-02-01,Kamchatka Krai,,фбк кошелек,RU,web
2019-01-01 2019-02-01,Kabardino-Balkaria,,фбк кошелек,RU,web
2019-01-01 2019-02-01,Karachay-Cherkessia,,фбк кошелек,RU,web
2019-01-01 2019-02-01,Krasnodar Krai,,фбк кошелек,RU,web
2019-01-01 2019-02-01,Kemerovo Oblast,,фбк кошелек,RU,web
2019-01-01 2019-02-01,Kaliningrad Oblast,,фбк кошелек,RU,web
2019-01-01 2019-02-01,Kurgan Oblast,,фбк кошелек,RU,web
2019-01-01 2019-02-01,Khabarovsk Krai,,фбк кошелек,RU,web
2019-01-01 2019-02-01,Khanty-Mansi Autonomous Okrug,,фбк кошелек,RU,web
2019-01-01 2019-02-01,Kirov Oblast,,фбк кошелек,RU,web
2019-01-01 2019-02-01,Republic of Khakassia,,фбк кошелек,RU,web
2019-01-01 2019-02-01,Kalmykia,,фбк кошелек,RU,web
2019-01-01 2019-02-01,Kaluga Oblast,,фбк кошелек,RU,web
2019-01-01 2019-02-01,Komi Republic,,фбк кошелек,RU,web
2019-01-01 2019-02-01,Kostroma Oblast,,фбк кошелек,RU,web
