date,location,hits,keyword,geo,gprop
2019-01-01 2019-02-01,Kostroma Oblast,100,фбк,RU,web
2019-01-01 2019-02-01,Yaroslavl Oblast,42,фбк,RU,web
2019-01-01 2019-02-01,Volgograd Oblast,26,фбк,RU,web
2019-01-01 2019-02-01,Perm Krai,22,фбк,RU,web
2019-01-01 2019-02-01,Irkutsk Oblast,13,фбк,RU,web
2019-01-01 2019-02-01,Moscow,12,фбк,RU,web
2019-01-01 2019-02-01,Chelyabinsk Oblast,11,фбк,RU,web
2019-01-01 2019-02-01,Novosibirsk Oblast,11,фбк,RU,web
2019-01-01 2019-02-01,Saint Petersburg,10,фбк,RU,web
2019-01-01 2019-02-01,Sverdlovsk Oblast,8,фбк,RU,web
2019-01-01 2019-02-01,Adygea,,фбк,RU,web
2019-01-01 2019-02-01,Altai Republic,,фбк,RU,web
2019-01-01 2019-02-01,Altai Krai,,фбк,RU,web
2019-01-01 2019-02-01,Amur Oblast,,фбк,RU,web
2019-01-01 2019-02-01,Arkhangelsk Oblast,,фбк,RU,web
2019-01-01 2019-02-01,Astrakhan Oblast,,фбк,RU,web
2019-01-01 2019-02-01,Republic of Bashkortostan,,фбк,RU,web
2019-01-01 2019-02-01,Belgorod Oblast,,фбк,RU,web
2019-01-01 2019-02-01,Bryansk Oblast,,фбк,RU,web
2019-01-01 2019-02-01,Buryatia,,фбк,RU,web
2019-01-01 2019-02-01,Chechnya,,фбк,RU,web
2019-01-01 2019-02-01,Chukotka Autonomous Okrug,,фбк,RU,web
2019-01-01 2019-02-01,Chuvashia Republic,,фбк,RU,web
2019-01-01 2019-02-01,Dagestan Republic,,фбк,RU,web
2019-01-01 2019-02-01,Ingushetia,,фбк,RU,web
2019-01-01 2019-02-01,Ivanovo Oblast,,фбк,RU,web
2019-01-01 2019-02-01,Kamchatka Krai,,фбк,RU,web
2019-01-01 2019-02-01,Kabardino-Balkaria,,фбк,RU,web
2019-01-01 2019-02-01,Karachay-Cherkessia,,фбк,RU,web
2019-01-01 2019-02-01,Krasnodar Krai,,фбк,RU,web
2019-01-01 2019-02-01,Kemerovo Oblast,,фбк,RU,web
2019-01-01 2019-02-01,Kaliningrad Oblast,,фбк,RU,web
2019-01-01 2019-02-01,Kurgan Oblast,,фбк,RU,web
2019-01-01 2019-02-01,Khabarovsk Krai,,фбк,RU,web
2019-01-01 2019-02-01,Khanty-Mansi Autonomous Okrug,,фбк,RU,web
2019-01-01 2019-02-01,Kirov Oblast,,фбк,RU,web
2019-01-01 2019-02-01,Republic of Khakassia,,фбк,RU,web
2019-01-01 2019-02-01,Kalmykia,,фбк,RU,web
2019-01-01 2019-02-01,Kaluga Oblast,,фбк,RU,web
2019-01-01 2019-02-01,Komi Republic,,фбк,RU,web
2019-01-01 2019-02-01,Republic of Karelia,,фбк,RU,web
2019-01-01 2019-02-01,Kursk Oblast,,фбк,RU,web
2019-01-01 2019-02-01,Krasnoyarsk Krai,,фбк,RU,web
2019-01-01 2019-02-01,Leningrad Oblast,,фбк,RU,web
2019-01-01 2019-02-01,Lipetsk Oblast,,фбк,RU,web
2019-01-01 2019-02-01,Magadan Oblast,,фбк,RU,web
2019-01-01 2019-02-01,Mari El Republic,,фбк,RU,web
2019-01-01 2019-02-01,Mordovia,,фбк,RU,web
2019-01-01 2019-02-01,Moscow Oblast,,фбк,RU,web
2019-01-01 2019-02-01,Murmansk Oblast,,фбк,RU,web
2019-01-01 2019-02-01,Nenets Autonomous Okrug,,фбк,RU,web
2019-01-01 2019-02-01,Novgorod Oblast,,фбк,RU,web
2019-01-01 2019-02-01,Nizhny Novgorod Oblast,,фбк,RU,web
2019-01-01 2019-02-01,Omsk Oblast,,фбк,RU,web
2019-01-01 2019-02-01,Orenburg Oblast,,фбк,RU,web
2019-01-01 2019-02-01,Oryol Oblast,,фбк,RU,web
2019-01-01 2019-02-01,Penza Oblast,,фбк,RU,web
2019-01-01 2019-02-01,Primorsky Krai,,фбк,RU,web
2019-01-01 2019-02-01,Pskov Oblast,,фбк,RU,web
2019-01-01 2019-02-01,Rostov Oblast,,фбк,RU,web
2019-01-01 2019-02-01,Ryazan Oblast,,фбк,RU,web
2019-01-01 2019-02-01,Sakha Republic,,фбк,RU,web
2019-01-01 2019-02-01,Sakhalin Oblast,,фбк,RU,web
2019-01-01 2019-02-01,Samara Oblast,,фбк,RU,web
2019-01-01 2019-02-01,Saratov Oblast,,фбк,RU,web
2019-01-01 2019-02-01,North Ossetia–Alania,,фбк,RU,web
2019-01-01 2019-02-01,Smolensk Oblast,,фбк,RU,web
2019-01-01 2019-02-01,Stavropol Krai,,фбк,RU,web
2019-01-01 2019-02-01,Tatarstan,,фбк,RU,web
2019-01-01 2019-02-01,Tambov Oblast,,фбк,RU,web
2019-01-01 2019-02-01,Tomsk Oblast,,фбк,RU,web
