date,location,hits,keyword,geo,gprop
2019-01-01 2019-02-01,Republic of Karelia,100,навальный,RU,web
2019-01-01 2019-02-01,Pskov Oblast,82,навальный,RU,web
2019-01-01 2019-02-01,Mari El Republic,54,навальный,RU,web
2019-01-01 2019-02-01,Perm Krai,47,навальный,RU,web
2019-01-01 2019-02-01,Tula Oblast,42,навальный,RU,web
2019-01-01 2019-02-01,Saint Petersburg,40,навальный,RU,web
2019-01-01 2019-02-01,Chechnya,40,навальный,RU,web
2019-01-01 2019-02-01,Moscow,35,навальный,RU,web
2019-01-01 2019-02-01,Voronezh Oblast,35,навальный,RU,web
2019-01-01 2019-02-01,Lipetsk Oblast,33,навальный,RU,web
2019-01-01 2019-02-01,Kamchatka Krai,32,навальный,RU,web
2019-01-01 2019-02-01,Vologda Oblast,32,навальный,RU,web
2019-01-01 2019-02-01,Dagestan Republic,31,навальный,RU,web
2019-01-01 2019-02-01,Tambov Oblast,30,навальный,RU,web
2019-01-01 2019-02-01,Kemerovo Oblast,30,навальный,RU,web
2019-01-01 2019-02-01,Yamalo-Nenets Autonomous Okrug,29,навальный,RU,web
2019-01-01 2019-02-01,Saratov Oblast,29,навальный,RU,web
2019-01-01 2019-02-01,Orenburg Oblast,27,навальный,RU,web
2019-01-01 2019-02-01,Omsk Oblast,27,навальный,RU,web
2019-01-01 2019-02-01,Leningrad Oblast,25,навальный,RU,web
2019-01-01 2019-02-01,Komi Republic,25,навальный,RU,web
2019-01-01 2019-02-01,Republic of Khakassia,25,навальный,RU,web
2019-01-01 2019-02-01,Adygea,25,навальный,RU,web
2019-01-01 2019-02-01,Primorsky Krai,25,навальный,RU,web
2019-01-01 2019-02-01,Irkutsk Oblast,24,навальный,RU,web
2019-01-01 2019-02-01,Moscow Oblast,24,навальный,RU,web
2019-01-01 2019-02-01,Kaluga Oblast,23,навальный,RU,web
2019-01-01 2019-02-01,Novosibirsk Oblast,22,навальный,RU,web
2019-01-01 2019-02-01,Kirov Oblast,20,навальный,RU,web
2019-01-01 2019-02-01,Khanty-Mansi Autonomous Okrug,20,навальный,RU,web
2019-01-01 2019-02-01,Ulyanovsk Oblast,20,навальный,RU,web
2019-01-01 2019-02-01,Samara Oblast,19,навальный,RU,web
