geo,date_quarter,ddos
AD,2016.75,0
AD,2017,0
AD,2017.25,0
AD,2017.5,100
AD,2017.75,0
AD,2018,0
AD,2018.25,0
AD,2018.5,0
AD,2018.75,0
AD,2019,0
AD,2019.25,0
AD,2019.5,0
AD,2019.75,0
AD,2020,0
AD,2020.25,0
AD,2020.5,64
AD,2020.75,0
AD,2021,0
AD,2021.25,0
AD,2021.5,0
AD,2021.75,0
AE,2016.75,225
AE,2017,264
AE,2017.25,306
AE,2017.5,199
AE,2017.75,503
AE,2018,209
AE,2018.25,371
AE,2018.5,189
AE,2018.75,220
AE,2019,206
AE,2019.25,165
AE,2019.5,242
AE,2019.75,246
AE,2020,327
AE,2020.25,405
AE,2020.5,427
AE,2020.75,414
AE,2021,180
AE,2021.25,463
AE,2021.5,217
AE,2021.75,198
AF,2016.75,0
AF,2017,0
AF,2017.25,47
AF,2017.5,0
AF,2017.75,56
AF,2018,0
AF,2018.25,48
AF,2018.5,49
AF,2018.75,46
AF,2019,133
AF,2019.25,149
AF,2019.5,97
AF,2019.75,42
AF,2020,183
AF,2020.25,85
AF,2020.5,76
AF,2020.75,67
AF,2021,0
AF,2021.25,0
AF,2021.5,0
AF,2021.75,39
AL,2016.75,86
AL,2017,77
AL,2017.25,159
AL,2017.5,100
AL,2017.75,0
AL,2018,87
AL,2018.25,0
AL,2018.5,191
AL,2018.75,190
AL,2019,93
AL,2019.25,95
AL,2019.5,86
AL,2019.75,260
AL,2020,0
AL,2020.25,84
AL,2020.5,0
AL,2020.75,229
AL,2021,74
AL,2021.25,153
AL,2021.5,72
AL,2021.75,0
AM,2016.75,160
AM,2017,147
AM,2017.25,48
AM,2017.5,63
AM,2017.75,108
AM,2018,99
AM,2018.25,57
AM,2018.5,0
AM,2018.75,232
AM,2019,158
AM,2019.25,55
AM,2019.5,118
AM,2019.75,51
AM,2020,0
AM,2020.25,0
AM,2020.5,152
AM,2020.75,152
AM,2021,192
AM,2021.25,53
AM,2021.5,52
AM,2021.75,162
AO,2016.75,100
AO,2017,0
AO,2017.25,0
AO,2017.5,0
AO,2017.75,0
AO,2018,0
AO,2018.25,94
AO,2018.5,0
AO,2018.75,95
AO,2019,94
AO,2019.25,163
AO,2019.5,241
AO,2019.75,0
AO,2020,0
AO,2020.25,0
AO,2020.5,0
AO,2020.75,0
AO,2021,0
AO,2021.25,59
AO,2021.5,136
AO,2021.75,56
AR,2016.75,26
AR,2017,41
AR,2017.25,37
AR,2017.5,28
AR,2017.75,26
AR,2018,27
AR,2018.25,16
AR,2018.5,19
AR,2018.75,17
AR,2019,32
AR,2019.25,17
AR,2019.5,14
AR,2019.75,43
AR,2020,382
AR,2020.25,127
AR,2020.5,92
AR,2020.75,73
AR,2021,71
AR,2021.25,57
AR,2021.5,67
AR,2021.75,10
AT,2016.75,382
AT,2017,378
AT,2017.25,409
AT,2017.5,316
AT,2017.75,313
AT,2018,325
AT,2018.25,203
AT,2018.5,181
AT,2018.75,316
AT,2019,109
AT,2019.25,226
AT,2019.5,166
AT,2019.75,372
AT,2020,316
AT,2020.25,429
AT,2020.5,436
AT,2020.75,308
AT,2021,339
AT,2021.25,260
AT,2021.5,298
AT,2021.75,97
AU,2016.75,217
AU,2017,317
AU,2017.25,246
AU,2017.5,304
AU,2017.75,211
AU,2018,208
AU,2018.25,184
AU,2018.5,223
AU,2018.75,196
AU,2019,259
AU,2019.25,318
AU,2019.5,237
AU,2019.75,244
AU,2020,261
AU,2020.25,378
AU,2020.5,316
AU,2020.75,189
AU,2021,167
AU,2021.25,237
AU,2021.5,240
