name_target,name_source
Hижегородская область,Nizhny Novgorod Oblast
Алтайский край,Altai Krai
Амурская область,Amur Oblast
Архангельская область,Arkhangelsk Oblast
Белгородская область,Belgorod Oblast
Брянская область,Bryansk Oblast
Владимирская область,Vladimir Oblast
Волгоградская область,Volgograd Oblast
Вологодская область,Vologda Oblast
Воронежская область,Voronezh Oblast
г.Москва,Moscow
г.Санкт-Петербург,Saint Petersburg
Еврейская автономная область,Jewish Autonomous Oblast
Забайкальский край,Zabaykalsky Krai
Ивановская область,Ivanovo Oblast
Иркутская область,Irkutsk Oblast
Кабардино-Балкарская Республика,Kabardino-Balkaria
Калининградская область,Kaliningrad Oblast
Калужская область,Kaluga Oblast
Камчатский край,Kamchatka Krai
Карачаево-Черкесская Республика,Karachay-Cherkessia
Кемеровская область,Kemerovo Oblast
Кировская область,Kirov Oblast
Костромская область,Kostroma Oblast
Краснодарский край,Krasnodar Krai
Курганская область,Kurgan Oblast
Курская область,Kursk Oblast
Ленинградская область,Leningrad Oblast
Липецкая область,Lipetsk Oblast
Магаданская область,Magadan Oblast
Московская область,Moscow Oblast
Мурманская область,Murmansk Oblast
Новгородская область,Novgorod Oblast
Новосибирская область,Novosibirsk Oblast
Омская область,Omsk Oblast
Оренбургская область,Orenburg Oblast
Орловская область,Oryol Oblast
Пензенская область,Penza Oblast
Пермский край,Perm Krai
Приморский край,Primorsky Krai
Псковская область,Pskov Oblast
Республика Адыгея,Adygea
Республика Алтай,Altai Republic
Республика Башкортостан,Republic of Bashkortostan
Республика Бурятия,Buryatia
Республика Дагестан,Dagestan Republic
Республика Ингушетия,Ingushetia
Республика Калмыкия,Kalmykia
Республика Карелия,Republic of Karelia
Республика Коми,Komi Republic
Республика Марий Эл,Mari El Republic
Республика Мордовия,Mordovia
Республика Саха (Якутия),Sakha Republic
Республика Северная Осетия- Алания,North Ossetia–Alania
Республика Татарстан(Татарстан),Tatarstan
Республика Тыва,Tuva
Республика Хакасия,Republic of Khakassia
Ростовская область,Rostov Oblast
Рязанская область,Ryazan Oblast
Самарская область,Samara Oblast
Саратовская область,Saratov Oblast
Сахалинская область,Sakhalin Oblast
Свердловская область,Sverdlovsk Oblast
Смоленская область,Smolensk Oblast
Ставропольский край,Stavropol Krai
Тамбовская область,Tambov Oblast
Тверская область,Tver Oblast
Томская область,Tomsk Oblast
Тульская область,Tula Oblast
Тюменская область,Tyumen Oblast
Удмуртская Республика,Udmurt Republic
Ульяновская область,Ulyanovsk Oblast
Хабаровский край,Khabarovsk Krai
Ханты-Мансийский авт.округ-Югра,Khanty-Mansi Autonomous Okrug
Челябинская область,Chelyabinsk Oblast
Чеченская Республика,Chechnya
Чувашская Республика(Чувашия),Chuvashia Republic
Чукотский авт.округ,Chukotka Autonomous Okrug
Ямало-Hенецкий авт.округ,Yamalo-Nenets Autonomous Okrug
Ярославская область,Yaroslavl Oblast
