location,date,trend_gde_miting,trend_dvorez,trend_navalny,trend_navalny_otravlenie,trend_fbk,trend_fbk_koshelek
Республика Адыгея,01_2019,0,0,25,0,0,0
Республика Адыгея,01_2020,0,0,34,0,0,0
Республика Адыгея,01_2021,0,20,57,0,0,0
Республика Адыгея,02_2019,0,0,21,0,0,0
Республика Адыгея,02_2020,0,0,31,0,0,0
Республика Адыгея,02_2021,0,63,39,0,0,0
Республика Адыгея,03_2019,0,0,0,0,0,0
Республика Адыгея,03_2020,0,0,27,0,0,0
Республика Адыгея,03_2021,0,0,16,0,0,0
Республика Адыгея,04_2019,0,0,0,0,0,0
Республика Адыгея,04_2020,0,0,12,0,0,0
Республика Адыгея,04_2021,0,0,34,0,0,0
Республика Адыгея,05_2019,0,0,78,0,0,0
Республика Адыгея,05_2020,0,0,0,0,0,0
Республика Адыгея,05_2021,0,0,22,0,0,0
Республика Адыгея,06_2019,0,0,0,0,0,0
Республика Адыгея,06_2020,0,0,68,0,0,0
Республика Адыгея,06_2021,0,39,0,0,0,0
Республика Адыгея,07_2019,0,0,26,0,0,0
Республика Адыгея,07_2020,0,0,0,0,0,0
Республика Адыгея,07_2021,0,0,0,0,0,0
Республика Адыгея,08_2019,0,0,17,0,0,0
Республика Адыгея,08_2020,0,0,37,0,0,0
Республика Адыгея,08_2021,0,0,0,0,0,0
Республика Адыгея,09_2019,0,0,60,0,0,0
Республика Адыгея,09_2020,0,0,56,0,0,0
Республика Адыгея,09_2021,0,0,0,0,0,0
Республика Адыгея,10_2019,0,0,0,0,0,0
Республика Адыгея,10_2020,0,0,45,0,0,0
Республика Адыгея,10_2021,0,0,0,0,0,0
Республика Адыгея,11_2019,0,0,0,0,0,0
Республика Адыгея,11_2020,0,0,0,0,0,0
Республика Адыгея,12_2019,0,0,0,0,0,0
Республика Адыгея,12_2020,0,0,63,0,0,0
Алтайский край,01_2019,0,0,16,0,0,0
Алтайский край,01_2020,0,0,22,0,0,0
Алтайский край,01_2021,51,15,71,0,13,0
Алтайский край,02_2019,0,0,7,0,0,0
Алтайский край,02_2020,0,0,19,0,0,0
Алтайский край,02_2021,0,0,48,0,0,0
Алтайский край,03_2019,0,0,15,0,0,0
Алтайский край,03_2020,0,0,27,0,0,0
Алтайский край,03_2021,0,0,35,0,22,0
Алтайский край,04_2019,0,0,16,0,0,0
Алтайский край,04_2020,0,0,29,0,0,0
Алтайский край,04_2021,0,27,38,0,25,0
Алтайский край,05_2019,0,0,14,0,0,0
Алтайский край,05_2020,0,0,13,0,0,0
Алтайский край,05_2021,0,31,5,0,0,0
Алтайский край,06_2019,0,0,19,0,0,0
Алтайский край,06_2020,0,0,22,0,0,0
Алтайский край,06_2021,0,0,60,0,0,0
Алтайский край,07_2019,0,0,45,0,0,0
Алтайский край,07_2020,0,0,33,0,0,0
Алтайский край,07_2021,0,62,24,0,0,0
Алтайский край,08_2019,0,0,8,0,0,0
Алтайский край,08_2020,0,0,54,0,61,0
Алтайский край,08_2021,0,0,20,0,0,0
Алтайский край,09_2019,0,0,53,0,0,0
Алтайский край,09_2020,0,0,59,0,17,0
Алтайский край,09_2021,0,0,4,0,0,0
Алтайский край,10_2019,0,0,61,0,23,0
Алтайский край,10_2020,0,0,65,41,0,0
Алтайский край,10_2021,0,0,34,0,0,0
Алтайский край,11_2019,0,0,39,0,0,0
Алтайский край,11_2020,0,0,35,0,0,0
Алтайский край,12_2019,0,0,20,0,0,0
Алтайский край,12_2020,0,0,50,0,0,0
Республика Алтай,01_2019,0,0,0,0,0,0
Республика Алтай,01_2020,0,0,0,0,0,0
Республика Алтай,01_2021,0,14,83,0,0,0
Республика Алтай,02_2019,0,0,0,0,0,0
Республика Алтай,02_2020,0,0,0,0,0,0
Республика Алтай,02_2021,0,100,42,0,0,0
Республика Алтай,03_2019,0,0,0,0,0,0
Республика Алтай,03_2020,0,0,0,0,0,0
Республика Алтай,03_2021,0,0,52,0,0,0
Республика Алтай,04_2019,0,0,0,0,0,0
Республика Алтай,04_2020,0,0,0,0,0,0
Республика Алтай,04_2021,0,0,0,0,0,0
Республика Алтай,05_2019,0,0,0,0,0,0
Республика Алтай,05_2020,0,0,0,0,0,0
Республика Алтай,05_2021,0,0,0,0,0,0
Республика Алтай,06_2019,0,0,0,0,0,0
Республика Алтай,06_2020,0,0,0,0,0,0
Республика Алтай,06_2021,0,0,100,0,0,0
Республика Алтай,07_2019,0,0,0,0,0,0
Республика Алтай,07_2020,0,0,0,0,0,0
Республика Алтай,07_2021,0,0,0,0,0,0
Республика Алтай,08_2019,0,0,100,0,0,0
Республика Алтай,08_2020,0,0,34,0,0,0
Республика Алтай,08_2021,0,0,0,0,0,0
Республика Алтай,09_2019,0,0,100,0,0,0
Республика Алтай,09_2020,0,0,52,0,0,0
Республика Алтай,09_2021,0,0,0,0,0,0
Республика Алтай,10_2019,0,0,0,0,0,0
Республика Алтай,10_2020,0,0,61,0,0,0
Республика Алтай,10_2021,0,0,0,0,0,0
Республика Алтай,11_2019,0,0,0,0,0,0
Республика Алтай,11_2020,0,0,0,0,0,0
Республика Алтай,12_2019,0,0,0,0,0,0
Республика Алтай,12_2020,0,0,36,0,0,0
Амурская область,01_2019,0,0,0,0,0,0
Амурская область,01_2020,0,0,38,0,0,0
Амурская область,01_2021,0,0,45,90,34,0
Амурская область,02_2019,0,0,5,0,0,0
Амурская область,02_2020,0,0,0,0,0,0
Амурская область,02_2021,0,18,53,0,50,0
Амурская область,03_2019,0,0,18,0,0,0
Амурская область,03_2020,0,0,29,0,0,0
Амурская область,03_2021,0,43,18,0,0,0
Амурская область,04_2019,0,0,45,0,0,0
Амурская область,04_2020,0,0,25,0,0,0
Амурская область,04_2021,0,0,20,0,34,0
Амурская область,05_2019,0,0,38,0,0,0
Амурская область,05_2020,0,0,19,0,0,0
Амурская область,05_2021,0,0,13,0,0,0
Амурская область,06_2019,0,0,0,0,0,0
Амурская область,06_2020,0,0,0,0,0,0
Амурская область,06_2021,0,0,42,0,0,0
Амурская область,07_2019,0,0,29,0,0,0
Амурская область,07_2020,0,0,38,0,0,0
Амурская область,07_2021,0,0,0,0,0,0
Амурская область,08_2019,0,0,39,0,64,0
Амурская область,08_2020,0,0,30,0,0,0
Амурская область,08_2021,0,0,38,0,0,0
Амурская область,09_2019,0,0,17,0,0,0
Амурская область,09_2020,0,0,20,0,45,0
Амурская область,09_2021,0,0,0,0,0,0
Амурская область,10_2019,0,0,0,0,0,0
Амурская область,10_2020,0,0,11,0,0,0
Амурская область,10_2021,0,0,0,0,0,0
Амурская область,11_2019,0,0,0,0,91,0
Амурская область,11_2020,0,0,0,0,0,0
Амурская область,12_2019,0,0,19,0,0,0
Амурская область,12_2020,0,0,7,0,0,0
Архангельская область,01_2019,0,0,11,0,0,0
Архангельская область,01_2020,0,0,0,0,0,0
Архангельская область,01_2021,0,26,55,0,0,0
Архангельская область,02_2019,0,0,0,0,0,0
Архангельская область,02_2020,0,0,32,0,0,0
Архангельская область,02_2021,0,0,47,0,0,0
Архангельская область,03_2019,0,0,34,0,0,0
Архангельская область,03_2020,0,0,28,0,0,0
Архангельская область,03_2021,0,0,19,0,0,0
Архангельская область,04_2019,0,0,0,0,34,0
Архангельская область,04_2020,0,0,29,0,0,0
Архангельская область,04_2021,0,0,33,0,0,0
Архангельская область,05_2019,0,0,0,0,0,0
Архангельская область,05_2020,0,0,0,0,0,0
Архангельская область,05_2021,0,0,25,0,0,0
Архангельская область,06_2019,0,0,28,0,0,0
Архангельская область,06_2020,0,0,9,0,0,0
Архангельская область,06_2021,0,0,22,0,0,0
Архангельская область,07_2019,0,0,86,0,0,0
Архангельская область,07_2020,0,0,25,0,0,0
Архангельская область,07_2021,0,0,0,0,0,0
Архангельская область,08_2019,0,0,9,0,0,0
Архангельская область,08_2020,0,0,32,37,0,0
Архангельская область,08_2021,0,0,19,0,0,0
Архангельская область,09_2019,0,0,16,0,0,0
Архангельская область,09_2020,0,0,44,0,45,0
Архангельская область,09_2021,0,0,0,0,0,0
Архангельская область,10_2019,0,0,22,0,0,0
Архангельская область,10_2020,0,0,12,0,0,0
Архангельская область,10_2021,0,0,0,0,0,0
Архангельская область,11_2019,0,0,42,0,0,0
Архангельская область,11_2020,0,0,22,0,0,0
Архангельская область,12_2019,0,0,20,0,0,0
Архангельская область,12_2020,0,0,42,0,0,0
Astrakhan Oblast,01_2019,0,0,0,0,0,0
Astrakhan Oblast,01_2020,0,0,38,0,0,0
Astrakhan Oblast,01_2021,0,5,38,0,0,0
Astrakhan Oblast,02_2019,0,0,15,0,0,0
Astrakhan Oblast,02_2020,0,0,49,0,0,0
Astrakhan Oblast,02_2021,0,18,48,0,0,0
Astrakhan Oblast,03_2019,81,0,0,0,0,0
Astrakhan Oblast,03_2020,0,0,30,0,0,0
Astrakhan Oblast,03_2021,0,0,19,0,0,0
Astrakhan Oblast,04_2019,0,0,0,0,0,0
Astrakhan Oblast,04_2020,0,0,37,0,0,0
Astrakhan Oblast,04_2021,0,0,35,0,0,0
Astrakhan Oblast,05_2019,0,0,57,0,0,0
Astrakhan Oblast,05_2020,0,0,26,0,0,0
Astrakhan Oblast,05_2021,0,0,13,0,0,0
Astrakhan Oblast,06_2019,0,0,10,0,0,0
Astrakhan Oblast,06_2020,0,0,10,0,0,0
Astrakhan Oblast,06_2021,0,0,0,0,0,0
Astrakhan Oblast,07_2019,0,0,77,0,0,0
Astrakhan Oblast,07_2020,0,0,53,0,0,0
Astrakhan Oblast,07_2021,0,0,36,0,0,0
Astrakhan Oblast,08_2019,0,0,21,0,67,0
Astrakhan Oblast,08_2020,0,0,23,0,0,0
Astrakhan Oblast,08_2021,0,0,0,0,0,0
Astrakhan Oblast,09_2019,0,0,17,0,0,0
Astrakhan Oblast,09_2020,0,0,20,0,0,0
Astrakhan Oblast,09_2021,0,0,3,0,67,0
Astrakhan Oblast,10_2019,0,0,0,0,0,0
Astrakhan Oblast,10_2020,0,0,23,0,0,0
Astrakhan Oblast,10_2021,0,100,0,0,0,0
Astrakhan Oblast,11_2019,0,0,0,0,0,0
Astrakhan Oblast,11_2020,0,0,0,0,0,0
Astrakhan Oblast,12_2019,0,0,31,0,37,0
Astrakhan Oblast,12_2020,0,0,57,0,0,0
Белгородская область,01_2019,0,0,8,0,0,0
Белгородская область,01_2020,0,0,28,0,66,0
Белгородская область,01_2021,34,24,60,0,0,0
Белгородская область,02_2019,0,0,10,0,0,0
Белгородская область,02_2020,0,0,25,0,0,0
Белгородская область,02_2021,0,22,53,0,31,0
Белгородская область,03_2019,0,0,57,0,0,0
Белгородская область,03_2020,0,0,32,0,0,0
Белгородская область,03_2021,0,0,27,0,0,0
Белгородская область,04_2019,0,0,29,0,0,0
Белгородская область,04_2020,0,0,18,0,0,0
Белгородская область,04_2021,0,49,23,0,0,0
Белгородская область,05_2019,0,0,36,0,0,0
Белгородская область,05_2020,0,0,13,0,0,0
Белгородская область,05_2021,0,0,18,0,0,0
Белгородская область,06_2019,0,0,13,0,0,0
Белгородская область,06_2020,0,0,7,0,0,0
Белгородская область,06_2021,0,0,30,0,43,0
Белгородская область,07_2019,0,0,37,0,0,0
Белгородская область,07_2020,0,0,18,0,0,0
Белгородская область,07_2021,0,0,12,0,0,0
Белгородская область,08_2019,0,0,30,0,0,0
Белгородская область,08_2020,0,0,31,0,40,0
Белгородская область,08_2021,0,0,40,0,0,0
Белгородская область,09_2019,0,0,11,0,0,0
Белгородская область,09_2020,0,0,26,0,0,0
Белгородская область,09_2021,0,0,4,0,43,0
Белгородская область,10_2019,0,0,31,0,0,0
Белгородская область,10_2020,0,0,44,0,0,0
Белгородская область,10_2021,0,0,33,0,0,0
Белгородская область,11_2019,0,0,11,0,0,0
Белгородская область,11_2020,0,0,0,0,0,0
Белгородская область,12_2019,0,0,8,0,28,0
Белгородская область,12_2020,0,0,31,0,0,0
Брянская область,01_2019,0,0,14,0,0,0
Брянская область,01_2020,0,0,65,0,100,0
Брянская область,01_2021,0,22,74,0,80,0
Брянская область,02_2019,0,0,12,0,0,0
Брянская область,02_2020,0,0,0,0,0,0
Брянская область,02_2021,0,0,76,0,0,0
Брянская область,03_2019,0,0,21,0,0,0
Брянская область,03_2020,0,0,50,0,0,0
Брянская область,03_2021,0,54,81,0,0,0
Брянская область,04_2019,0,0,27,0,0,0
Брянская область,04_2020,0,0,28,0,0,0
Брянская область,04_2021,0,0,17,0,0,0
Брянская область,05_2019,0,0,22,0,0,0
Брянская область,05_2020,0,0,42,0,0,0
Брянская область,05_2021,0,0,0,0,0,0
Брянская область,06_2019,0,0,0,0,0,0
Брянская область,06_2020,0,0,52,0,0,0
Брянская область,06_2021,0,28,74,0,0,0
Брянская область,07_2019,0,0,65,0,68,0
Брянская область,07_2020,0,0,14,0,66,0
Брянская область,07_2021,0,0,56,0,0,0
Брянская область,08_2019,0,0,22,0,0,0
Брянская область,08_2020,0,0,26,0,0,0
Брянская область,08_2021,0,0,21,0,0,0
Брянская область,09_2019,0,0,59,0,0,0
Брянская область,09_2020,0,0,62,0,0,0
Брянская область,09_2021,0,0,0,0,0,0
Брянская область,10_2019,0,0,27,0,0,0
Брянская область,10_2020,0,0,14,0,0,0
Брянская область,10_2021,0,0,0,0,0,0
Брянская область,11_2019,0,0,0,0,0,0
Брянская область,11_2020,0,0,0,0,0,0
Брянская область,12_2019,0,0,24,0,0,0
Брянская область,12_2020,0,0,59,0,0,0
Республика Бурятия,01_2019,0,0,0,0,0,0
Республика Бурятия,01_2020,0,0,40,0,0,0
Республика Бурятия,01_2021,50,21,66,0,0,0
Республика Бурятия,02_2019,0,0,5,0,0,0
Республика Бурятия,02_2020,0,0,0,0,0,0
Республика Бурятия,02_2021,0,0,55,0,0,0
Республика Бурятия,03_2019,0,0,61,0,0,0
Республика Бурятия,03_2020,0,0,31,0,0,0
Республика Бурятия,03_2021,0,0,11,0,0,0
Республика Бурятия,04_2019,0,0,49,0,0,0
Республика Бурятия,04_2020,0,0,19,0,0,0
Республика Бурятия,04_2021,0,81,22,0,0,0
Республика Бурятия,05_2019,0,0,84,0,0,0
Республика Бурятия,05_2020,0,0,21,0,0,0
Республика Бурятия,05_2021,0,0,0,0,0,0
Республика Бурятия,06_2019,0,0,0,0,0,0
Республика Бурятия,06_2020,0,0,20,0,0,0
Республика Бурятия,06_2021,0,0,23,0,0,0
Республика Бурятия,07_2019,0,0,0,0,0,0
Республика Бурятия,07_2020,0,0,14,0,0,0
Республика Бурятия,07_2021,0,0,0,0,0,0
Республика Бурятия,08_2019,0,0,22,0,70,0
Республика Бурятия,08_2020,0,0,38,0,0,0
Республика Бурятия,08_2021,0,0,20,0,0,0
Республика Бурятия,09_2019,0,0,38,0,0,0
Республика Бурятия,09_2020,0,0,33,0,100,0
Республика Бурятия,09_2021,0,0,4,0,0,0
Республика Бурятия,10_2019,0,0,0,0,0,0
Республика Бурятия,10_2020,0,0,24,0,0,0
Республика Бурятия,10_2021,0,0,0,0,0,0
Республика Бурятия,11_2019,0,0,16,0,0,0
Республика Бурятия,11_2020,0,0,0,0,0,0
Республика Бурятия,12_2019,0,0,0,0,0,0
Республика Бурятия,12_2020,0,0,8,0,0,0
Чеченская Республика,01_2019,0,0,40,0,0,0
Чеченская Республика,01_2020,0,0,18,0,0,0
Чеченская Республика,01_2021,0,0,54,0,0,0
Чеченская Республика,02_2019,0,0,0,0,0,0
Чеченская Республика,02_2020,0,0,16,0,0,0
Чеченская Республика,02_2021,0,0,27,0,0,0
Чеченская Республика,03_2019,0,0,20,0,0,0
Чеченская Республика,03_2020,0,0,26,0,0,0
