company_real;region_real
Акционерная компании АЛРОСА Закрытое акционерное общество;Республика Саха, г. Мирный
Открытое акционерное общество Мичуринский завод Прогресс; Тамбовская обл., г. Мичуринск 
Закрытое акционерное общество НОВОМЕТ ПЕРМЬ;г. Пермь 
Закрытое акционерное общество Балтийский станкостроительный завод;г. Санкт-Петербург 
Открытое акционерное общество Магнитогорский метизно калибровочный завод ММК МЕТИЗ;г. Магнитогорск 
Открытое акционерное общество Авиакомпания Сибирь;Новосибирская обл.
Открытое акционерное общество Акционерная компания Корвет;Курганская обл., г. Курган 
Закрытое акционерное общество РОССИЙСКИЕ РЕДКИЕ МЕТАЛЛЫ;г. Санкт-Петербург г., 
Открытое акционерное общество производственное объединение северное машиностроительное предприятие;Архангельская обл., г. Северодвинск 
Закрытое акционерное общество РОССИЙСКИЕ РЕДКИЕ МЕТАЛЛЫ;г. Санкт-Петербург 
Открытое акционерное общество Томский электромеханический завод им В В Вахрушева;г. Томск 
Открытое акционерное общество Тамбовский завод Комсомолец имени Н С Артемова;г. Тамбов 
Открытое акционерное общество Государственный научный центр Научно исследовательский институт атомных реакторов;Ульяновская обл., г. Димитровград 
Открытое акционерное общество РУМО;г. Нижний Новгород 
Общество с ограниченной ответственностью Усольехимпром;Иркутская обл., г. Усолье-Сибирское 
Открытое акционерное общество Муромский радиозавод;Владимирская обл., г. Муром 
Закрытое акционерное общество Научно производственное предприятие МедИнж;г. Пенза 
Открытое акционерное общество Приборостроительный завод ВИБРАТОР;г. Санкт-Петербург 
Общество с ограниченной ответственностью БиоХимЗавод;Кировская обл., г. Киров
Закрытое Акционерное Общество Нара;Московская обл., г. Серпухов
Открытое акционерное общество Концерн Центральный научно исследовательский институт Электроприбор;г. Санкт-Петербург
Открытое акционерное общество Вяземский машиностроительный завод;Смоленская обл., г. Вязьма
Общество с Ограниченной Ответственностью Усолье Сибирский Силикон;Иркутская обл., г. Усолье-Сибирское 
Общество с ограниченной ответственностью Научно производственное объединение Автогазтранс;г. Самара 
Общество с ограниченной ответственностью Научно внедренческое предприятие БашИнком;Респ. Башкортостан г. Уфа
Общество с ограниченной ответственностью Евросахар;г. Орел 
Общество с ограниченной ответственностью научно производственное предприятие Эксорб;г. Екатеринбург 
Закрытое акционерное общество Уралэлектромаш;г. Каменск-Уральский
Открытое акционерное общество Пермская научно производственная приборостроительная компания;г. Пермь 
Татарское меховое торгово промышленное общество с ограниченной ответственностью Мелита;г.Казань 
Общество с ограниченной ответственностью Хозрасчетный творческий центр Уфимского авиационного института;Республика. Башкортостан г. Уфа
Открытое Акционерное Общество Обувная фабрика Спартак;г.Казань
Общество с ограниченной ответственностью Булгар Синтез;г.Казань
Общество с ограниченной ответственностью Производственно техническое объединение Медтехника;г. Казань
Открытое акционерное общество Авангард;г. Санкт-Петербург 
Закрытое акционерное общество Информационные и управляющие системы;г. Саратов 
Открытое акционерное общество Хитон;г. Казань
Открытое акционерное общество Татхимфармпрепараты;г. Казань
Общество с ограниченной ответственностью Производственное объединение Шеврет;г. Волгоград 
Открытое акционерное общество Концерн Океанприбор;г. Санкт-Петербург 
Закрытое акционерное общество Опытно Экспериментальный завод ВладМиВа;г. Белгород 
Открытое акционерное общество Опытное Конструкторское Бюро Машиностроения им И И Африкантова; г. Нижний Новгород 
Открытое ационерное общество Машиностроительное конструкторское бюро Искра имени Ивана Ивановича Картукова;г. Москва
Открытое акционерное общество Центр судоремонта Звездочка;г. Северодвинск 
Общество с ограниченной ответственностью Научно производственный центр магнитной гидродинамики;г. Красноярск 
Федеральное государственное унитарное предприятие Научно производственное предприятие Радиосвязь;г. Красноярск
Общество с ограниченной ответственностью Научно производственное предприятие САМИ;Красноярский край, г. Железногорск 
Открытое акционерное общество Информационные спутниковые системы имени академика М Ф Решетнева;Красноярский край, г. Железногорск
Открытое акционерное общество КДБ;г. Краснодар 
Открытое акционерное общество Улан Удэнский авиационной завод;г. Улан -Удэ
Общество с ограниченной ответственностью Производственная компания Новочеркасский электровозостроительный завод;г. Новочеркасск 
Открытое акционерное общество Саратовский завод СЕРП и МОЛОТ;г. Саратов 
Общество с ограниченной ответственностью Инсэт;г. Калининград 
Открытое акционерное общество Орбита;Респ. Мордовия, городской округ Саранск, рп. Ялга 
Открытое акционерное общество Авиакор авиационный завод;г. Самара 
Общество с ограниченной ответственностью Металл групп;Белгородская обл., пос. Яковлево
Открытое акционерное общество по переработке пластмасс АЭЛИТА;Ленинградская обл, пос. Сосново
Открытое акционерное общество Радий;Челябинская обл., г. Косли 
Федеральное государственное унитарное предприятие Экспериментальный завод научного приборостроения со Специальным конструкторским бюро Российской академии наук;Московская обл., г. Черноголовка 
Закрытое акционерное общество Симбирская литейная компания;г. Ульяновск
Открытое акционерное общество Протон Пермские моторы;г. Пермь 
Общество с ограниченной ответственностью Научно производственное объединение Мостовик;г.Омск 
Открытое акционерное общество Магнитогорский металлургический комбинат;г. Челябинск 
Закрытое акционерное общество Механоремонтный комплекс;г. Магнитогорск 
Закрытое акционерное общество НАУЧНО ПРОИЗВОДСТВЕННОЕ ОБЪЕДИНЕНИЕ ЭНЕРГЕТИЧЕСКИХ СИСТЕМ И ПРИВОДОВ МАШИН; г.Москва 
Общество с ограниченной ответственностью Научно производственное объединение Экспериментальный завод;Свердловская обл., г. Реж 
Учреждение Институт новых технологий;г.Москва 
Открытое акционерное общество Торговое предприятие Томский инструмент; г.Томск 
Открытое акционерное общество Научно исследовательский технологический институт Прогресс;г. Ижевск 
Открытое акционерное общество Металлист;Свердловская обл., г. Качканар 
Общество с ограниченной ответственностью Центр Инновационных Технологий Плюс;г. Саратов 
Открытое акционерное общество Центральный научно исследоавтельский институт измерительной аппаратуры;г. Саратов
Закрытое акционерное общество Завод им Козицкого;г. Санкт-Петербург
Общество с ограниченной ответственностью Научно технический центр Микротурбинные технологии;г. Санкт-Петербург
Общество с ограниченной ответственностью Руслед;г. Томск 
Закрытое акционерное общество Свет XXI века Томский завод светотехники;г. Томск 
Закрытое акционерное общество Элекард Девайсез;г. Томск 
Закрытое акционерное общество Научно производственная фирма Микран;г. Томск 
Открытое акционерное общество Северное производственное объединение Арктика;г. Северодвинск 
Общество с ограниченной ответственностью Барикан;г. Краснодар 
Открытое акционерное общество Енисейгеофизика;г. Красноярск 
Общество с ограниченной ответственностью Наука Техника Медицина;г. Томск 
ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО АЛТАЙ ЛАДА;г. Барнаул
Общество с ограниченной ответственностью Орский завод строительных машин;Оренбургская обл., г. Орск 
Открытое акционерное общество Электротехническая компания Биробиджанский завод силовых трансформаторов;Еврейская обл., г. Биробиджан 
Открытое акционерное общество Томская домостроительная компания;г. Томск 
Общество с ограниченной ответственностью Завод Медсинтез;Свердловская обл., г. Новоуральск 
Открытое Акционерное Общество Салаватнефтеоргсинтез;Респ. Башкортостан, г. Салават 
Открытое акционерное общество Завод автономных источников тока;г. Саратов
Закрытое акционерное общество Вектор БиАльгам;Новосибирская обл., пос. Кольцово 
Открытое акционерное общество Российская самолетостроительная корпорация МиГ;г. Москва 
Открытое акционерное общество Федеральный научно производственный центр Нижегородский научно исследовательский институт радиотехники;г. Нижний Новгород 
Закрытое акционерное общество ЭлеСи;г. Томск 
Открытое акционерное общество Российский научно исследовательский институт Электронстандарт;г. Санкт-Петербург
Закрытое акционерное общество Лазерные комплексы;Московская обл., г. Шатура 
Открытое Акционерное Общество Атоммашэкспорт;Ростовская обл., г. Волгодонск 
Кемеровский филиал открытого акционерного общества Сибирьтелеком;г.Кемерово 
Открытое акционерное общество Техприбор;г. Санкт-Петербург 
Общество с ограниченной ответственностью Вестерн;г.Рязань 
Открытое акционерное общество Группа Илим;г. Санкт-Петербург
Открытое акционерное общество Группа Илим;г. Санкт-Петербург 
Закрытое акционерное общество Научно производственное предприятие Салют 27;г. Нижний Новгород 
Закрытое акционерное общество Эврика;г. Санкт-Петербург
Открытое акционерное общество НИИ молекулярной электроники и завод Микрон;г.Москва 
Закрытое акционерное общество Транзас;г. Санкт-Петербург
Открытое акционерное общество Воронежское акционерное самолетостроительное общество;г. Воронеж 
Общество с ограниченной ответственностью Научно исследовательский институт эластомерных материалов и изделий;г.Москва 
Открытое акционерное общество Авиаагрегат;г.Самара 
Открытое акционерное общество Вакууммаш;г.Казань 
Закрытое Акционерное Общество Нефтеконсорциум;Республика Татарстан г. Альметьевск
Федеральное государственное унитарное предприятие федеральный научно исследовательский институт измерительных систем им Ю Е Седакова;г. Нижний Новгород 
Открытое акционерное общество Авангард;г. Санкт-Петербург
Открытое акционерное общество Концерн Океанприбор;г. Санкт-Петербург
Открытое акционерное общество Завод Измеритель;г. Санкт-Петербург
Общество с ограниченной ответственностью ОТДЕЛ КАПИТАЛЬНОГО СТРОИТЕЛЬСТВА СТРОИТЕЛЬНОГО УПРАВЛЕНИЯ N 155;г.Москва 
Открытое акционерное общество Концерн Ижмаш;г.Ижевск
Открытое акционерное общество Авиадвигатель; г.Пермь 
Открытое акционерное общество Информационные спутниковые системы имени академика М Ф Решетнева;Красноярский край, г. Железногорск 
Закрытое Акционерное Общество Энергоавтоматика;г. Ростов-на-Дону 
Открытое акционерное Общество Научно производственное предприятие космического приборостроения КВАНТ;г. Ростов-на-Дону 
Открытое акционерное общество Научно исследовательский и проектно конструкторский институт информатизации автоматизации и связи на железнодорожном транспорте;г.Москва 
Закрытое акционерное общество Терна Полимер;Московская обл., г.Мытищи 
Открытое акционерное общество Концерн Моринформсистема Агат;г.Москва 
Закрытое акционерное общество Борисоглебские системы связи;Воронежская обл., г. Борисоглебск 
Открытое акционерное общество Нововятский лыжный комбинат;Кировская обл., г. Киров
Закрытое акционерное общество СТИЛСОФТ;Ставропольский край, г. Ставрополь 
Сельскохозяйственное открытое акционерное общество БЕЛОРЕЧЕНСКОЕ;Иркутская обл., пос. Белореченский
Открытое акционерное общество Уфимское моторостроительное производственное объединение;Респ. Башкортостан г. Уфа 
Открытое акционерное общество Уфимский машиностроительный завод;Респ. Башкортостан г. Уфа
Общество с ограниченной ответственностью Балаковские минеральные удобрения;Саратовская обл., г. Балаково 
Общество с ограниченной ответственностью Технологическая компания Сибэкс; г.Тюмень 
Открытое акционерное общество Московский завод Сапфир;г.Москва 
Открытое акционерное общество Владыкинский механический завод;г.Москва 
Государственное Унитарное Предприятие Калининградский янтарный комбинат;Калининградская обл., пгт. Янтарный 
Холдинговая компания Новосибирский электровакуумный завод СОЮЗ в форме открытого акционерного общества;г. Новосибирск 
Общество с ограниченной ответственностью Научно Производственный Центр Неразрушающего контроля ЭХО;г.Москва 
Открытое акционерное общество Научно производственное предприятие Темп им Ф Короткова;г.Москва 
Открытое акционерное общество Челябинский радиозавод Полет;г. Челябинск 
Открытое акционерное общество Нижегородский институт технологии и организации производства;г. Нижний Новгород 
Общество с ограниченной ответственностью КОЛТЕК ИНТЕРНЕШНЛ;г.Москва 
Открытое акционерное общество Тулачермет;г.Тула 
Закрытое акционерное общество Фирма Юмирс;г.Пенза    
Закрытое акционерное общество Волгоградский завод оросительной техники и жилищно коммунального хозяйства;г. Волгоград 
Федеральное государственное унитарное предприятие Государственный Завод Пульсар;г. Москва 
Общество с ограниченной ответственностью Алсико Агропром;г.Москва 
Общество с ограниченной ответственностью АЛСИКО РЕСУРС;г.Москва 
Общество с ограниче6нной ответственностью Татнефть Нижнекамскнефтехим Ойл;г. Нижнекамск
Волгоградское открытое акционерное общество Химпром;г. Волгоград 
Закрытое акционерное общество НИИ Материаловедения;г.Москва Зеленоград 
Открытое акционерное общество Терский завод алмазного инструмента;Кабардино-Балкарская Республика, г. Терек 
Закрытое Акционерное Общество Биокад;Московская обл., с. Петрово-Дальнее 
Открытое акционерное общество Пигмент;г.Тамбов 
Общество с ограниченной ответственностью Инвестиционная финансовая компания МЕТРОПОЛЬ;г.Москва 
Общество с ограниченной ответственностью Объединенная Компания Сибшахтострой;г.Новокузнецк 
Открытое акционерное общество Нижегородский масло жировой комбинат;г. Нижний Новгород 
Общество с ограниченной ответственностью Красное Эхо;Владимирская обл., пос. Красное Эхо 
Закрытое акционерное общество Чебоксарский электроаппаратный завод;г. Чебоксары
Общество с ограниченной ответственностью Электростекло;г.Москва 
Закрытое акционерное общество Группа компаний Титан;г.Омск 
Закрытое акционерное общество Строительно монтажное предприятие 95;г.Томск 
Открытое акционерное общество Красногорский завод им С А Зверева; Московская обл., г. Красногорск 
Открытое акционерное общество Уральская Сталь;Оренбургская обл., г. Новотроицк 
