regions_mortality	regions_wiki
Алтайский край	Алтайский край
Амурская область	Амурская область
Архангельская область	Архангельская область
Астраханская область	Астраханская область
Белгородская область	Белгородская область
Брянская область	Брянская область
Владимирская область	Владимирская область
Волгоградская область	Волгоградская область
Вологодская область	Вологодская область
Воронежская область	Воронежская область
г.Москва	Москва
г.Санкт-Петербург	Санкт-Петербург
Еврейская автономная область	Еврейская автономная область
Забайкальский край	Забайкальский край
Ивановская область	Ивановская область
Иркутская область	Иркутская область
Кабардино-Балкарская Республика	Кабардино-Балкария
Калининградская область	Калининградская область
Калужская область	Калужская область
Камчатский край	Камчатский край
Карачаево-Черкесская Республика	Карачаево-Черкесия
Кемеровская область	Кемеровская область
Кировская область	Кировская область
Костромская область	Костромская область
Краснодарский край	Краснодарский край
Красноярский край	Красноярский край
Курганская область	Курганская область
Курская область	Курская область
Ленинградская область	Ленинградская область
Липецкая область	Липецкая область
Магаданская область	Магаданская область
Московская область	Московская область
Мурманская область	Мурманская область
Hижегородская область	Нижегородская область
Новгородская область	Новгородская область
Новосибирская область	Новосибирская область
Омская область	Омская область
Оренбургская область	Оренбургская область
Орловская область	Орловская область
Пензенская область	Пензенская область
Пермский край	Пермский край
Приморский край	Приморский край
Псковская область	Псковская область
Республика Адыгея	Адыгея
Республика Алтай	Республика Алтай
Республика Башкортостан	Башкортостан
Республика Бурятия	Бурятия
Республика Дагестан	Дагестан
Республика Ингушетия	Ингушетия
Республика Калмыкия	Калмыкия
Республика Карелия	Карелия
Республика Коми	Республика Коми
Республика Марий Эл	Марий Эл
Республика Мордовия	Мордовия
Республика Саха (Якутия)	Якутия
Республика Северная Осетия- Алания	Северная Осетия
Республика Татарстан(Татарстан)	Татарстан
Республика Тыва	Тыва
Республика Хакасия	Хакасия
Ростовская область	Ростовская область
Рязанская область	Рязанская область
Самарская область	Самарская область
Саратовская область	Саратовская область
Сахалинская область	Сахалинская область
Свердловская область	Свердловская область
Смоленская область	Смоленская область
Ставропольский край	Ставропольский край
Тамбовская область	Тамбовская область
Тверская область	Тверская область
Томская область	Томская область
Тульская область	Тульская область
Тюменская область	Тюменская область
Удмуртская Республика	Удмуртия
Ульяновская область	Ульяновская область
Хабаровский край	Хабаровский край
Ханты-Мансийский авт.округ-Югра	Ханты-Мансийский автономный округ — Югра
Челябинская область	Челябинская область
Чеченская Республика	Чечня
Чувашская Республика(Чувашия)	Чувашия
Чукотский авт.округ	Чукотский автономный округ
Ямало-Hенецкий авт.округ	Ямало-Ненецкий автономный округ
Ярославская область	Ярославская область
