date,reg_name,excess_mort,excess_mort_p
2021-01-01,Hижегородская область,1480.2,0.3376522652
2021-02-01,Hижегородская область,675,0.1727668288
2021-03-01,Hижегородская область,896.2,0.2146175583
2020-04-01,Hижегородская область,-213.4,-0.05151602935
2020-05-01,Hижегородская область,-40.2,-0.009438392186
2020-06-01,Hижегородская область,608.6,0.1525925183
2020-07-01,Hижегородская область,674,0.1726434426
2020-08-01,Hижегородская область,139,0.03535096643
2020-09-01,Hижегородская область,428.6,0.1111687503
2020-10-01,Hижегородская область,1026.4,0.2474087644
2020-11-01,Hижегородская область,1871.6,0.4873450682
2020-12-01,Hижегородская область,2404.8,0.5995213402
2021-01-01,Алтайский край,779.2,0.2563326535
2021-02-01,Алтайский край,402.6,0.153114779
2021-03-01,Алтайский край,466.8,0.1653442902
2020-04-01,Алтайский край,-139,-0.05039883974
2020-05-01,Алтайский край,-278.6,-0.09594985535
2020-06-01,Алтайский край,-214.4,-0.07708348314
2020-07-01,Алтайский край,246,0.09138187221
2020-08-01,Алтайский край,-79.6,-0.0294313392
2020-09-01,Алтайский край,475.8,0.1870871343
2020-10-01,Алтайский край,1877,0.6800724638
2020-11-01,Алтайский край,2078.8,0.7779357832
2020-12-01,Алтайский край,1546.8,0.588539685
2021-01-01,Амурская область,362.8,0.3630904724
2021-02-01,Амурская область,111.8,0.1243327402
2021-03-01,Амурская область,159,0.1635802469
2020-04-01,Амурская область,28.2,0.03176391079
2020-05-01,Амурская область,-66.4,-0.07190816548
2020-06-01,Амурская область,19.8,0.02219233356
2020-07-01,Амурская область,157.6,0.1760107215
2020-08-01,Амурская область,58.2,0.06905552919
2020-09-01,Амурская область,154.2,0.1840534734
2020-10-01,Амурская область,245.6,0.263972485
2020-11-01,Амурская область,578.6,0.6639889832
2020-12-01,Амурская область,742.8,0.8063395571
2021-01-01,Архангельская область,499.6,0.3449323391
2021-02-01,Архангельская область,344.8,0.2877649808
2021-03-01,Архангельская область,352.4,0.2584335582
2020-04-01,Архангельская область,-81,-0.06454183267
2020-05-01,Архангельская область,23.8,0.01813747904
2020-06-01,Архангельская область,68.2,0.05478791774
2020-07-01,Архангельская область,108.8,0.08654152084
2020-08-01,Архангельская область,-93.8,-0.07475294868
2020-09-01,Архангельская область,253.4,0.2077730403
2020-10-01,Архангельская область,160.6,0.1280293367
2020-11-01,Архангельская область,355,0.2968227425
2020-12-01,Архангельская область,820.4,0.6737844941
2021-01-01,Астраханская область,193.4,0.174297044
2021-02-01,Астраханская область,128.4,0.1378273937
2021-03-01,Астраханская область,190.2,0.1816965992
2020-04-01,Астраханская область,43.2,0.04219574136
2020-05-01,Астраханская область,-91.2,-0.08913213448
2020-06-01,Астраханская область,-15.4,-0.0157883945
2020-07-01,Астраханская область,281.4,0.2759905845
2020-08-01,Астраханская область,98.8,0.1024683676
2020-09-01,Астраханская область,240.2,0.2742635305
2020-10-01,Астраханская область,363,0.38170347
2020-11-01,Астраханская область,413,0.4379639449
2020-12-01,Астраханская область,493,0.5
2021-01-01,Белгородская область,422.2,0.2151008763
2021-02-01,Белгородская область,292.2,0.1774350255
2021-03-01,Белгородская область,390.6,0.2116614284
2020-04-01,Белгородская область,-50.6,-0.0287402022
2020-05-01,Белгородская область,196.8,0.1068287917
2020-06-01,Белгородская область,-86.8,-0.04946432642
2020-07-01,Белгородская область,157,0.09022988506
2020-08-01,Белгородская область,-11,-0.006428988895
2020-09-01,Белгородская область,310,0.1960784314
2020-10-01,Белгородская область,931,0.5431738623
2020-11-01,Белгородская область,1020.2,0.5998353716
2020-12-01,Белгородская область,835.6,0.4857009998
2021-01-01,Брянская область,432.2,0.2462958742
2021-02-01,Брянская область,352.6,0.237537052
2021-03-01,Брянская область,324.8,0.2039944731
2020-04-01,Брянская область,-24.6,-0.01565283787
2020-05-01,Брянская область,139,0.08363417569
2020-06-01,Брянская область,129.6,0.08719052745
2020-07-01,Брянская область,151.2,0.1005452853
2020-08-01,Брянская область,-101.6,-0.06857451404
2020-09-01,Брянская область,141.4,0.1023451071
2020-10-01,Брянская область,224.6,0.1452405587
2020-11-01,Брянская область,474.8,0.3160697643
2020-12-01,Брянская область,743.8,0.4873542131
2021-01-01,Владимирская область,490.8,0.2409189083
2021-02-01,Владимирская область,255.6,0.1495261495
2021-03-01,Владимирская область,241.8,0.1315417256
2020-04-01,Владимирская область,-68,-0.03628601921
2020-05-01,Владимирская область,108.8,0.05636721583
2020-06-01,Владимирская область,389.2,0.2118902439
2020-07-01,Владимирская область,161.8,0.08923450254
2020-08-01,Владимирская область,56.2,0.03101887626
2020-09-01,Владимирская область,111,0.06278280543
2020-10-01,Владимирская область,302,0.1624529317
2020-11-01,Владимирская область,792.2,0.4542952173
2020-12-01,Владимирская область,937,0.507034632
2021-01-01,Волгоградская область,769.2,0.2506517205
2021-02-01,Волгоградская область,486.4,0.1815873964
2021-03-01,Волгоградская область,368.6,0.1273493643
2020-04-01,Волгоградская область,-1,-0.0003579098067
2020-05-01,Волгоградская область,157,0.05300472654
2020-06-01,Волгоградская область,-87,-0.03063380282
2020-07-01,Волгоградская область,713.2,0.25
2020-08-01,Волгоградская область,39,0.0140591204
2020-09-01,Волгоградская область,737.2,0.2969228291
